\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Study Cases.IntPrjfolder\RMSPowerSims_verification.IntCase\Result Export.ComRes: 
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Study Cases.IntPrjfolder\RMSPowerSims_verification.IntCase\results_short_circuit_and_load_step.ElmRes':
1,b:tnow,s,"Time"
231,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
232,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
233,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
234,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
235,s:speed:dt,p.u./s,"Speed, derivative"
236,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
237,c:id,p.u.,"Stator Current, d-axis"
238,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 04.ElmSym':
239,s:xmt,p.u.,"Mechanical Torque"
240,s:P1,MW,"Positive-Sequence, Active Power"
241,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
242,s:psi1d,p.u.,"Flux in 1d-damper winding"
243,s:psifd,p.u.,"Excitation Flux"
244,s:psi1q,p.u.,"Flux in 1q-damper winding"
245,s:psi2q,p.u.,"Flux in 2q-damper winding"
246,s:speed,p.u.,"Speed"
247,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
248,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
249,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
250,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
251,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
252,s:speed:dt,p.u./s,"Speed, derivative"
253,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
254,c:id,p.u.,"Stator Current, d-axis"
255,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 05.ElmSym':
256,s:xmt,p.u.,"Mechanical Torque"
257,s:P1,MW,"Positive-Sequence, Active Power"
258,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
259,s:psi1d,p.u.,"Flux in 1d-damper winding"
260,s:psifd,p.u.,"Excitation Flux"
261,s:psi1q,p.u.,"Flux in 1q-damper winding"
262,s:psi2q,p.u.,"Flux in 2q-damper winding"
263,s:speed,p.u.,"Speed"
264,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
265,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
266,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
267,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
268,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
269,s:speed:dt,p.u./s,"Speed, derivative"
270,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
271,c:id,p.u.,"Stator Current, d-axis"
272,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 06.ElmSym':
273,s:xmt,p.u.,"Mechanical Torque"
274,s:P1,MW,"Positive-Sequence, Active Power"
275,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
276,s:psi1d,p.u.,"Flux in 1d-damper winding"
277,s:psifd,p.u.,"Excitation Flux"
278,s:psi1q,p.u.,"Flux in 1q-damper winding"
279,s:psi2q,p.u.,"Flux in 2q-damper winding"
280,s:speed,p.u.,"Speed"
281,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
282,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
283,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
284,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
285,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
286,s:speed:dt,p.u./s,"Speed, derivative"
287,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
288,c:id,p.u.,"Stator Current, d-axis"
289,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 07.ElmSym':
290,s:xmt,p.u.,"Mechanical Torque"
291,s:P1,MW,"Positive-Sequence, Active Power"
292,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
293,s:psi1d,p.u.,"Flux in 1d-damper winding"
294,s:psifd,p.u.,"Excitation Flux"
295,s:psi1q,p.u.,"Flux in 1q-damper winding"
296,s:psi2q,p.u.,"Flux in 2q-damper winding"
297,s:speed,p.u.,"Speed"
298,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
299,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
300,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
301,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
302,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
303,s:speed:dt,p.u./s,"Speed, derivative"
304,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
305,c:id,p.u.,"Stator Current, d-axis"
306,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 08.ElmSym':
307,s:xmt,p.u.,"Mechanical Torque"
308,s:P1,MW,"Positive-Sequence, Active Power"
309,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
310,s:psi1d,p.u.,"Flux in 1d-damper winding"
311,s:psifd,p.u.,"Excitation Flux"
312,s:psi1q,p.u.,"Flux in 1q-damper winding"
313,s:psi2q,p.u.,"Flux in 2q-damper winding"
314,s:speed,p.u.,"Speed"
315,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
316,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
317,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
318,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
319,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
320,s:speed:dt,p.u./s,"Speed, derivative"
321,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
322,c:id,p.u.,"Stator Current, d-axis"
323,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 09.ElmSym':
324,s:xmt,p.u.,"Mechanical Torque"
325,s:P1,MW,"Positive-Sequence, Active Power"
326,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
327,s:psi1d,p.u.,"Flux in 1d-damper winding"
328,s:psifd,p.u.,"Excitation Flux"
329,s:psi1q,p.u.,"Flux in 1q-damper winding"
330,s:psi2q,p.u.,"Flux in 2q-damper winding"
331,s:speed,p.u.,"Speed"
332,s:phi,rad,"Rotor position d-axis referred to the reference bus voltage"
333,s:psi1d:dt,p.u./s,"Flux in 1d-damper winding, derivative"
334,s:psifd:dt,p.u./s,"Excitation Flux, derivative"
335,s:psi1q:dt,p.u./s,"Flux in 1q-damper winding, derivative"
336,s:psi2q:dt,p.u./s,"Flux in 2q-damper winding, derivative"
337,s:speed:dt,p.u./s,"Speed, derivative"
338,s:phi:dt,rad/s,"Rotor position d-axis referred to the reference bus voltage, derivative"
339,c:id,p.u.,"Stator Current, d-axis"
340,c:iq,p.u.,"Stator Current, q-axis"
'\tomph.IntUser\RMSPowerSims\ieee_39_verification(1).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Grid.ElmNet\G 10.ElmSym':
341,s:xmt,p.u.,"Mechanical Torque"
342,s:P1,MW,"Positive-Sequence, Active Power"
343,s:Q1,Mvar,"Positive-Sequence, Reactive Power"
344,s:psi1d,p.u.,"Flux in 1d-damper winding"
345,s:psifd,p.u.,"Excitation Flux"
346,s:psi1q,p.u.,"Flux in 1q-damper winding"
347,s:psi2q,p.u.,"Flux in 2q-damper winding"
348,s:speed,p.u.,"Speed"
